Date,Symbole,Titre,Cotation_Volume,Cotation_Valeur,Cours_Precedent,Cours_Ouv,Cours_Clot,Cours_Moy,Variation,Variation_Ann_Prec,Cours_Reference,Ecarts_Maximaux_Bas,Ecarts_Maximaux_Haut,Dernier_Dividende_Montant_Net,Dernier_Dividende_Date,Comp,Rdt_Net,PER
2016-08-09,CABC,SICABLE CI,,,109 000,NC,NC,NC,,"-11,74%",109 000,100 825,117 175,"1 200,00",28/07/2016,1er,"1,10%","23,01"
2016-08-09,FTSC,FILTISAC CI,12,328 800,29 500,27 400,27 400,27 400,"-7,12%","-8,65%",27 400,25 345,29 455,"1 045,00",30/06/2016,1er,"3,81%","24,59"
2016-08-09,NEIC,NEI-CEDA CI,,,3 455,NC,NC,NC,,"-17,74%",3 455,3 200,3 710,"9,00",12/08/2011,1er,"0,00%","0,00"
2016-08-09,NTLC,NESTLE CI,10,610 000,61 000,61 000,61 000,61 000,"0,00%","22,00%",61 000,56 425,65 575,"31,50",29/09/2011,2eme,"0,00%","21,47"
2016-08-09,SEMC,CROWN SIEM CI,,,51 000,NC,NC,NC,,"13,35%",51 000,47 175,54 825,"1 215,00",28/08/2015,2eme,-,"40,94"
2016-08-09,SIVC,AIR LIQUIDE CI,5,97 250,19 450,19 450,19 450,19 450,"0,00%","-2,75%",19 450,17 995,20 905,"630,00",18/08/2015,1er,-,"20,21"
2016-08-09,SLBC,SOLIBRA CI,,,199 000,NC,NC,NC,,"4,74%",199 000,184 075,213 925,"4 101,00",30/05/2016,1er,"2,06%","14,48"
2016-08-09,SMBC,SMB CI,14,420 070,31 000,30 005,30 005,30 005,"-3,21%","57,92%",30 005,27 755,32 255,"450,00",19/07/2012,1er,"0,00%","10,57"
2016-08-09,STBC,SITAB CI,2,420 070,150 005,152 005,152 005,152 005,"1,33%","-2,56%",152 005,140 605,163 405,"8 150,00",09/07/2016,1er,"5,36%","14,84"
2016-08-09,TTRC,TRITURAF CI,,,490,NC,NC,NC,,"0,00%",490,455,525,"1 440,00",19/07/2012,2eme,-,-
2016-08-09,UNLC,UNILEVER CI,,,27 500,NC,NC,NC,,"10,00%",27 500,25 440,29 560,"1 233,00",19/08/2012,2eme,"0,00%","0,00"
2016-08-09,UNXC,UNIWAX CI,9,234 000,26 340,26 000,26 000,26 000,"-1,29%","-9,09%",26 000,24 050,27 950,"486,00",01/06/2016,2eme,"1,87%","22,37"
2016-08-09,CIEC,CIE CI,31,2 321 400,74 995,74 900,74 900,7 488,"-0,13%","7,01%",74 900,69 285,80 515,"2 661,75",30/04/2015,1er,-,"25,51"
2016-08-09,ONTBF,ONATEL BF,1 424,18 553 280,13 000,13 095,13 000,13 029,"0,00%","-13,33%",13 000,12 025,13 975,"651,00",01/06/2016,1er,"5,01%","17,49"
2016-08-09,SDCC,SODECI,44,3 676 290,78 100,81 000,83 955,83 552,"7,50%","-19,27%",83 955,77 660,90 250,"3 240,00",30/05/2016,1er,"3,86%","22,96"
2016-08-09,SNTS,SONATEL SN,5 523,126 058 595,22 800,22 800,22 865,22 824,"0,29%","-8,54%",22 865,21 155,24 575,"1 500,00",15/05/2016,1er,"6,56%","10,34"
2016-08-09,BICC,BICICI,11,992 200,91 000,90 020,90 025,90 200,"-1,07%","-10,87%",90 025,83 275,96 775,"2 771,41",24/07/2016,1er,"4,70%","16,30"
2016-08-09,BOAB,BOA BENIN,188,34 785 700,185 000,185 010,185 020,185 030,"0,01%","42,32%",185 020,171 145,198 895,"8 100,00",17/05/2016,1er,"4,38%","14,87"
